neighborhood,lat,lon
Rolling Meadows,42.051746,-88.01065899999999
Roseland,41.71127389999999,-87.62357420000001
Rosemont,41.98675069999999,-87.8721602
Sauk Village,41.8778076,-87.6469821
Schaumburg,42.052105,-88.033608
Schiller Park,41.95586369999999,-87.8708965
Skokie,42.0126791,-87.7604625
South Barrington,42.0742795,-88.18325870000001
South Chicago,41.7396861,-87.5544182
South Chicago Heights,41.74682190000001,-87.57916589999999
South Deering,41.6852465,-87.5692461
South Holland,41.6008681,-87.60698939999999
South Lawndale,41.8458158,-87.705823
South Shore,41.7600005,-87.5741877
Steger,41.47091959999999,-87.6361808
Stickney,41.821421,-87.7828339
Stone Park,41.90558619999999,-87.88367319999999
Streamwood,42.0087888,-88.1511134
Summit,41.7880876,-87.810334
Thornton,41.8850775,-87.6306343
Tinley Park,41.5556417,-87.7947362
Uptown,41.9665404,-87.6533404
Washington Heights,41.7159639,-87.65063099999999
Washington Park,41.7937913,-87.61081469999999
West Elsdon,41.7928619,-87.7221684
West Englewood,41.7780891,-87.66671769999999
West Garfield Park,41.8805878,-87.7292226
West Lawn,41.7728107,-87.722275
West Pullman,41.6716306,-87.63334619999999
West Ridge,42.0005804,-87.69257669999999
West Town,41.8935946,-87.6721671
Westchester,41.8498339,-87.8806738
Western Springs,41.8097532,-87.9006155
Wheeling,42.1391927,-87.9289591
Willow Springs,41.7516858,-87.8697531
Wilmette,41.9623476,-87.65453199999999
Winnetka,42.10808340000001,-87.735895
Woodlawn,41.780228,-87.5939087
Worth,41.6897548,-87.79727539999999
