DOUGLAS,WALGREENS,1
DUNNING,AVENUE FOOD MAR INC,1
DUNNING,BERBATE FRUIT MARKET,1
DUNNING,JEWEL,1
DUNNING,JOSEPH FOOD MART,1
DUNNING,LARAMIE BAKERY & DELI,1
DUNNING,MIARA'S CONT'L PASTRY DELI INC,1
DUNNING,RIVIERA FOODS,1
DUNNING,THE CELLAR,1
DUNNING,WALLY'S MARKET INC,1
EAST GARFIELD PARK,B & H FOOD & GROCERY,1
EAST GARFIELD PARK,MA'S & PA'S GROCERY SNACK SHOP,1
EAST GARFIELD PARK,NEW POP-IN,1
EAST SIDE,ALDI,1
EAST SIDE,JEWEL,1
EAST SIDE,LA CIENEGA SUPER FOOD INC,1
EDGEWATER,JEWEL,2
EDGEWATER,ALDI,1
EDGEWATER,CORCORANS PANTRY INC,1
EDGEWATER,DOMINICK'S # 12/0012,1
EDGEWATER,DOMINICKS #2890,1
EDGEWATER,EDGEWATER PRODUCE,1
EDGEWATER,HOLLYWOOD TOWER MKT,1
EDGEWATER,"LA UNICA FOOD MART, INC.",1
EDGEWATER,SUN LIQUORS,1
EDGEWATER,"SUPER FOOD & LIQUORS, INC.",1
EDISON PARK,HAPPY FOODS,1
ENGLEWOOD,"7400 S HALSTED FOOD AND LIQUORS, INC.",1
ENGLEWOOD,ALDI,1
ENGLEWOOD,FOOD BASKET,1
ENGLEWOOD,"H & A FOOD MARKET, INC.",1
ENGLEWOOD,J K & S FOOD & LIQUOR,1
ENGLEWOOD,KING FOOD & LIQUOR,1
ENGLEWOOD,MORGAN FOOD CORP LLC,1
ENGLEWOOD,SAFAH FOOD & LIQUOR INC,1
FOREST GLEN,HAPPY FOODS,1
FOREST GLEN,WHOLE FOODS,1
FULLER PARK,WALGREENS,1
GAGE PARK,CARNICERIA LA GLORIA,1
GAGE PARK,"CARNICERIA LA GLORIA NO. 2, INC.",1
GAGE PARK,CENTRO MARKET,1
GAGE PARK,CUPBOARD FOOD & LIQUOR,1
GAGE PARK,PETE'S MARKET,1
GARFIELD RIDGE,ALDI,1
GARFIELD RIDGE,JEWEL,1
GARFIELD RIDGE,SHOP & SAVE MARKET,1
GARFIELD RIDGE,SUPERMARKET & TAQUERIA CARO,1
GRAND BOULEVARD,200 LIQUORS,1
GRAND BOULEVARD,JAMAICA FOOD & LIQUOR INC,1
GRAND BOULEVARD,SAVEWAY FOOD,1
GRAND BOULEVARD,ZIAD CERTIFIED FOODS,1
GREATER GRAND CROSSING,A & G LIQUORS,1
GREATER GRAND CROSSING,ALDI,1
GREATER GRAND CROSSING,"GRAND PALACE SUPERMARKET, INC",1
GREATER GRAND CROSSING,LOUIS' GROCERIES,1
GREATER GRAND CROSSING,Save-A-Lot #886,1
GREATER GRAND CROSSING,WALGREENS,1
GREATER GRAND CROSSING,ZEE DOLLAR AND FOOD,1
HEGEWISCH,Baltimore Food & Liquor,1
HEGEWISCH,Hegewisch Fruit Market Inc.,1
HEGEWISCH,PETE'S FRESH MARKET,1
HERMOSA,ALDI,1
HERMOSA,CARNICERIA RICARDO,1
HERMOSA,CARNICERIA&FRUTERIA EL MITOTE,1
HERMOSA,CERMAK PRODUCE,1
HERMOSA,DOLLAR DEALS & UP,1
HERMOSA,INTERNATIONAL FOODS NW INC,1
HERMOSA,LA GUERRERENSE,1
HUMBOLDT PARK,ALDI,1
HUMBOLDT PARK,CARNICERIA JIMENEZ INC,1
HUMBOLDT PARK,CENTRAL PARK FOODS INC,1
HUMBOLDT PARK,EDDIE & SON FOOD &LIQ.,1
HUMBOLDT PARK,EL BARRIO GROCERY,1
